
U(x, u) = x^2 + u^2

+-------+------------+-------------+---------------+-------------+
|   x   |   Пикар    | Явный Эйлер | Неявный Эйлер | Рунге-Кутта |
| 0.130 | 7.2393e-04 |  7.1974e-04 |   7.1974e-04  |  7.2393e-04 |
| 0.130 | 7.3234e-04 |  7.2812e-04 |   7.2812e-04  |  7.3235e-04 |
| 0.131 | 7.4083e-04 |  7.3657e-04 |   7.3657e-04  |  7.4083e-04 |
| 0.131 | 7.4937e-04 |  7.4509e-04 |   7.4509e-04  |  7.4938e-04 |
| 0.132 | 7.5799e-04 |  7.5367e-04 |   7.5367e-04  |  7.5799e-04 |
| 0.132 | 7.6667e-04 |  7.6232e-04 |   7.6232e-04  |  7.6667e-04 |
| 0.133 | 7.7541e-04 |  7.7103e-04 |   7.7103e-04  |  7.7542e-04 |
| 0.133 | 7.8422e-04 |  7.7981e-04 |   7.7981e-04  |  7.8423e-04 |
| 0.134 | 7.9310e-04 |  7.8865e-04 |   7.8865e-04  |  7.9311e-04 |
| 0.134 | 8.0205e-04 |  7.9756e-04 |   7.9756e-04  |  8.0205e-04 |
| 0.135 | 8.1106e-04 |  8.0654e-04 |   8.0654e-04  |  8.1106e-04 |
| 0.135 | 8.2014e-04 |  8.1559e-04 |   8.1559e-04  |  8.2014e-04 |
| 0.136 | 8.2928e-04 |  8.2470e-04 |   8.2470e-04  |  8.2929e-04 |
| 0.136 | 8.3850e-04 |  8.3388e-04 |   8.3388e-04  |  8.3850e-04 |
| 0.137 | 8.4778e-04 |  8.4313e-04 |   8.4313e-04  |  8.4779e-04 |
| 0.137 | 8.5713e-04 |  8.5245e-04 |   8.5245e-04  |  8.5714e-04 |
| 0.138 | 8.6655e-04 |  8.6183e-04 |   8.6183e-04  |  8.6656e-04 |
| 0.138 | 8.7604e-04 |  8.7128e-04 |   8.7128e-04  |  8.7604e-04 |
| 0.139 | 8.8560e-04 |  8.8081e-04 |   8.8081e-04  |  8.8560e-04 |
| 0.139 | 8.9522e-04 |  8.9040e-04 |   8.9040e-04  |  8.9523e-04 |
| 0.140 | 9.0492e-04 |  9.0006e-04 |   9.0006e-04  |  9.0492e-04 |
| 0.140 | 9.1468e-04 |  9.0979e-04 |   9.0979e-04  |  9.1469e-04 |
