
U(x, u) = x^2 + u^2

+-------+------------+-------------+---------------+-------------+
|   x   |   Пикар    | Явный Эйлер | Неявный Эйлер | Рунге-Кутта |
| 0.017 | 1.6961e-06 |  1.6814e-06 |   1.6814e-06  |  1.6962e-06 |
| 0.017 | 1.7259e-06 |  1.7110e-06 |   1.7110e-06  |  1.7259e-06 |
| 0.017 | 1.7560e-06 |  1.7409e-06 |   1.7409e-06  |  1.7560e-06 |
| 0.018 | 1.7865e-06 |  1.7712e-06 |   1.7712e-06  |  1.7865e-06 |
| 0.018 | 1.8173e-06 |  1.8018e-06 |   1.8018e-06  |  1.8173e-06 |
| 0.018 | 1.8484e-06 |  1.8328e-06 |   1.8328e-06  |  1.8484e-06 |
| 0.018 | 1.8799e-06 |  1.8641e-06 |   1.8641e-06  |  1.8799e-06 |
| 0.018 | 1.9118e-06 |  1.8958e-06 |   1.8958e-06  |  1.9118e-06 |
| 0.018 | 1.9440e-06 |  1.9278e-06 |   1.9279e-06  |  1.9440e-06 |
| 0.018 | 1.9766e-06 |  1.9602e-06 |   1.9603e-06  |  1.9766e-06 |
| 0.018 | 2.0095e-06 |  1.9930e-06 |   1.9930e-06  |  2.0096e-06 |
| 0.018 | 2.0428e-06 |  2.0261e-06 |   2.0261e-06  |  2.0429e-06 |
| 0.018 | 2.0765e-06 |  2.0596e-06 |   2.0596e-06  |  2.0765e-06 |
| 0.018 | 2.1105e-06 |  2.0935e-06 |   2.0935e-06  |  2.1106e-06 |
| 0.019 | 2.1450e-06 |  2.1277e-06 |   2.1277e-06  |  2.1450e-06 |
| 0.019 | 2.1797e-06 |  2.1623e-06 |   2.1623e-06  |  2.1798e-06 |
| 0.019 | 2.2149e-06 |  2.1973e-06 |   2.1973e-06  |  2.2149e-06 |
| 0.019 | 2.2504e-06 |  2.2326e-06 |   2.2326e-06  |  2.2505e-06 |
| 0.019 | 2.2863e-06 |  2.2683e-06 |   2.2683e-06  |  2.2864e-06 |
| 0.019 | 2.3226e-06 |  2.3044e-06 |   2.3044e-06  |  2.3227e-06 |
| 0.019 | 2.3593e-06 |  2.3409e-06 |   2.3409e-06  |  2.3593e-06 |
| 0.019 | 2.3964e-06 |  2.3778e-06 |   2.3778e-06  |  2.3964e-06 |
| 0.019 | 2.4338e-06 |  2.4150e-06 |   2.4150e-06  |  2.4338e-06 |
| 0.019 | 2.4716e-06 |  2.4526e-06 |   2.4527e-06  |  2.4717e-06 |
| 0.020 | 2.5098e-06 |  2.4907e-06 |   2.4907e-06  |  2.5099e-06 |
| 0.020 | 2.5485e-06 |  2.5291e-06 |   2.5291e-06  |  2.5485e-06 |
| 0.020 | 2.5875e-06 |  2.5679e-06 |   2.5679e-06  |  2.5875e-06 |
| 0.020 | 2.6269e-06 |  2.6071e-06 |   2.6071e-06  |  2.6269e-06 |
